appId,appName,rank,cateId,cateName,tradeId,tradeName,developCompanyId,developCompanyAbbr,developCompanyFullName,monthActiveNums,monthActiveNumsRatio,dayActiveNums,dayActiveNumsRatio,status,statDateStr,monthStatDate,dayStatDate
2989664,荷包,1833,122,金融,1221202,投资理财,10203,荷包金融,深圳荷包金融信息咨询有限公司,56.5541731433,-0.05815954786282426,,,1,,1543593600000,
4723459,奇迹MU:觉醒,1834,312,RPG(角色扮演游戏),3121039,ARPG(即时战斗角色扮演游戏),3643,天马时空,北京天马时空网络技术有限公司,56.5457304067,0.022547485649596733,,,1,,1543593600000,
3570079,奇热免费小说,1835,136,移动阅读,1361296,综合阅读,2053,郴州七啸,郴州七啸网络科技有限公司,56.4733834167,-0.11568322080293547,,,1,,1543593600000,
5132562,心悦吉林麻将,1836,318,TAB(桌面游戏),3181058,棋牌,51642,吉林省心悦,吉林省心悦网络科技有限公司,56.4677220433,0.057034115040228456,,,1,,1543593600000,
3022392,大连棋牌,1837,318,TAB(桌面游戏),3181058,棋牌,200,东方博雅,深圳市东方博雅科技有限公司,56.45223619,0.013915883698909837,,,1,,1543593600000,
3001478,热血传奇,1838,312,RPG(角色扮演游戏),3121039,ARPG(即时战斗角色扮演游戏),1,腾讯科技,深圳市腾讯计算机系统有限公司,56.3937299067,-0.01570843351614205,,,1,,1543593600000,
2673746,城市通-城市联盟,1839,104,生活,1041252,分类信息,743,城联盟,北京城市联盟科技有限公司,56.29281058,-0.02988644501640082,,,1,,1543593600000,
3571880,头奖彩票,1840,122,金融,1221201,彩票服务,13401,一定发,广州市一定发网络科技有限公司,56.2551282633,-0.20262763719051452,,,1,,1543593600000,
4785152,蜜桃小说,1841,136,移动阅读,1361296,综合阅读,191,易天新动,北京易天新动网络科技有限公司,56.2353566033,-0.08633132816008454,22.6495393433,-0.1276665483777821,1,,1543593600000,1548691200000
2849774,脸部优化 Facetune,1842,103,摄影摄像,1031028,拍照及图片处理,,,,56.19585429,-0.045504530597630766,,,1,,1543593600000,
2014419,智能备忘录,1843,102,商务办公,1021016,记事本/备忘,14625,NoName工作室,NoName工作室,56.12578893,0.03774645866765512,,,1,,1543593600000,
2941923,3D播播,1844,126,智能硬件,1261260,VR,9706,上海乐欢,上海乐欢软件有限公司,56.1120660567,-0.01955867376459434,,,1,,1543593600000,
2979153,少年三国志,1845,315,卡牌,3151048,卡牌对战,3178,游族网络,游族网络股份有限公司,56.01950795,0.026403152508041365,14.8402118418,-0.01736126796934362,1,,1543593600000,1548691200000
3048202,滑雪大冒险2,1846,320,竞速,3201066,跑酷,3945,游道易,北京游道易网络文化有限公司,55.9465620633,0.06083935042518948,,,1,,1543593600000,
4514114,山西扣点点,1847,318,TAB(桌面游戏),3181058,棋牌,,,,55.8741267233,-0.01863013469054989,,,1,,1543593600000,
2030653,春秋航空,1848,106,旅游,1061065,航空服务,1094,春秋航空,春秋航空股份有限公司,55.8376162633,0.06608668227177024,,,1,,1543593600000,
3038168,点我达骑手,1849,104,生活,1111120,快递/配送,697,点我吧,上海点我吧信息技术有限公司,55.7924977933,-0.040099436144513785,,,1,,1543593600000,
2858015,漫画人,1850,133,动漫娱乐,1101244,漫画,9277,我喜欢,瑞安市我喜欢网络有限公司,55.7421356967,0.003233252012587017,,,1,,1543593600000,
3054817,弈客围棋,1851,318,TAB(桌面游戏),3181058,棋牌,10026,上海弈客,上海弈客信息技术有限公司,55.7407592933,0.055186862636145986,,,1,,1543593600000,
3616358,红豆Live,1852,130,视频直播,1301261,娱乐直播,14071,有信,深圳有信网络技术有限公司,55.69697692,0.00017084378020923614,32.4807246777,0.08724439757371592,1,,1543593600000,1548691200000
2024443,神庙逃亡,1853,320,竞速,3201066,跑酷,14706,乐逗游戏,乐逗游戏,55.64515384,-0.0002150433359690368,,,1,,1543593600000,
3100884,Lantern,1854,104,生活,1041045,生活工具,,,,55.51247808,0.04406973174318155,,,1,,1543593600000,
3888953,盛钱包成长版,1855,125,其它,1251238,金融工具,50695,前海移联,深圳前海移联科技有限公司,55.4896227833,0.04699889693916096,,,1,,1543593600000,
